Rank,BGG ID,Title,Rating,Voters,Published,PlayingTime,MinPlayers,MaxPlayers,Designer,Categories,Mechanics,Expansions,PlayerAge,NumPlayers,Language
54,4098,Age of Steam,7.533,5941,2002,120,1,6,Martin Wallace,Economic,Dice Rolling,95,14,4,2: Possible
55,555,The Princes of Florence,7.526,11785,2000,100,2,5,Wolfgang Kramer,,Auction/Bidding,2,12,5,3: Too much
56,43111,Chaos in the Old World,7.518,8427,2009,90,3,4,,Fantasy,Action Point Allowance System,1,14,4,4: Unplayable
57,215,Tichu,7.501,8514,1991,60,3,6,,Card Game,Betting/Wagering,0,12,4,1: Need crib
58,234,Hannibal: Rome vs. Carthage,7.49,3853,1996,150,2,2,,Wargame,Area Control / Area Influence,1,14,2,4: Unplayable
59,14996,Ticket to Ride: Europe,7.489,23722,2005,60,2,5,Alan R. Moon,,Card Drafting,48,8,4,1: Need crib
60,188,Go,7.484,9169,,90,2,2,(Uncredited),Abstract Strategy,,1,5,2,1: Need crib
61,59294,Runewars,7.477,5136,2010,180,2,4,,Fantasy,Area Control / Area Influence,6,14,4,4: Unplayable
62,147020,Star Realms,7.473,5064,2014,20,2,2,,Card Game,Card Drafting,11,8,2,2: Possible
63,124361,Concordia,7.465,3401,2013,100,2,5,,Economic,Card Drafting,1,12,4,3: Too much
64,127023,Kemet,7.465,4171,2012,90,2,5,,Fighting,Area Control / Area Influence,2,10,4,1: Need crib
65,17392,Here I Stand,7.462,2504,2006,360,2,6,,Wargame,Campaign / Battle Card Driven,1,14,6,4: Unplayable
66,43015,Hansa Teutonica,7.456,6269,2009,90,2,5,,,Action Point Allowance System,2,12,4,1: Need crib
67,140620,Lewis & Clark,7.453,4477,2013,120,1,5,,,Card Drafting,5,12,3,1: Need crib
68,24181,Imperial,7.453,6345,2006,120,2,6,,Economic,Area Control / Area Influence,0,12,4,2: Possible
69,77423,The Lord of the Rings: The Card Game,7.452,10066,2011,60,1,2,,Card Game,Co-operative Play,63,12,2,4: Unplayable
