Rank,BGG ID,Title,Rating,Voters,Published,PlayingTime,MinPlayers,MaxPlayers,Designer,Categories,Mechanics,Expansions,PlayerAge,NumPlayers,Language
475,24068,Shadow Hunters,6.715,4655,2005,45,4,8,,Card Game,Dice Rolling,1,10,7,3: Too much
476,58936,Wars of the Roses: Lancaster vs. York,6.715,1168,2010,180,2,4,,Wargame,Action / Movement Programming,0,12,4,2: Possible
477,1159,Evo,6.714,3880,2001,60,3,5,,Science Fiction,Action Point Allowance System,0,8,4,3: Too much
478,152,MÃ_ & More,6.713,1601,1995,60,2,8,,Card Game,Partnerships,0,12,5,1: Need crib
479,2955,Mexica,6.713,2379,2002,90,2,4,Wolfgang Kramer,,Action Point Allowance System,0,10,4,1: Need crib
480,423,1856,6.712,975,1995,300,3,6,,Economic,Auction/Bidding,0,14,4,1: Need crib
481,117959,Las Vegas,6.712,2731,2012,30,2,5,,Dice,Area Control / Area Influence,1,8,4,1: Need crib
482,699,HeroQuest,6.712,6619,1989,90,2,5,,Fantasy,Dice Rolling,18,8,5,4: Unplayable
483,30658,Rise of Empires,6.712,1632,2009,180,2,5,Martin Wallace,,Area Control / Area Influence,0,14,4,1: Need crib
484,1382,Winner's Circle,6.711,3758,2001,60,2,6,Reiner Knizia,,Betting/Wagering,0,6,6,1: Need crib
485,158899,Colt Express,6.711,1576,2014,30,2,6,,,Action / Movement Programming,0,8,5,1: Need crib
486,119788,Hyperborea,6.71,980,2014,90,2,6,,Fighting,Area Control / Area Influence,1,10,4,1: Need crib
487,13884,The Scepter of Zavandor,6.708,2151,2004,90,2,6,,Economic,Auction/Bidding,0,10,4,3: Too much
488,527,GIPF,6.707,1955,1997,30,2,2,,Abstract Strategy,Grid Movement,3,8,2,1: Need crib
489,35815,A Touch of Evil: The Supernatural Game,6.706,3227,2008,90,2,8,,Fighting,Area Movement,11,12,4,4: Unplayable
490,902,Meuterer,6.704,2694,2000,60,3,4,,Card Game,Card Drafting,0,10,4,1: Need crib
491,119591,Rialto,6.704,1996,2013,45,2,5,,,Area Control / Area Influence,0,10,4,1: Need crib
492,18258,Mission: Red Planet,6.704,3144,2005,60,3,5,Bruno Cathala,Science Fiction,Area Control / Area Influence,0,10,4,3: Too much
493,103,Titan,6.701,3289,1980,240,2,6,,Fantasy,Dice Rolling,1,12,2,1: Need crib
494,16395,Blokus Duo,6.7,3619,2005,15,2,2,,Abstract Strategy,Tile Placement,0,6,2,1: Need crib
495,22484,Ingenious: Travel Edition,6.7,1553,2006,30,2,2,Reiner Knizia,Abstract Strategy,Hand Management,0,6,2,1: Need crib
496,26457,Successors (third edition),6.7,914,2008,300,2,4,Richard H. Berg,Wargame,Area Control / Area Influence,0,12,4,4: Unplayable
497,156689,Legendary: Villains â€“ Marvel Deck Building Game,6.699,625,2014,45,1,5,,Card Game,Co-operative Play,1,8,3,3: Too much
498,13780,In the Shadow of the Emperor,6.698,2551,2004,90,2,4,,,Area Control / Area Influence,0,14,4,1: Need crib
499,144041,Patchistory,6.697,762,2013,120,2,4,,,Action Point Allowance System,1,12,4,2: Possible
500,278,Catan Card Game,6.697,9861,1996,90,2,2,Klaus Teuber,Card Game,Card Drafting,20,12,2,4: Unplayable
501,12495,Fire & Axe: A Viking Saga,6.696,2245,2004,90,3,5,,,Action Point Allowance System,0,10,4,3: Too much
502,37759,Incan Gold,6.696,5498,2006,20,3,8,Bruno Faidutti,,Press Your Luck,0,6,6,1: Need crib
503,29934,Amyitis,6.695,2338,2007,90,2,4,,,Area Control / Area Influence,2,12,3,1: Need crib
504,833,For the People,6.694,931,1998,360,2,2,Mark Herman,Wargame,Campaign / Battle Card Driven,0,14,2,4: Unplayable
505,137297,Augustus,6.694,3503,2013,30,2,6,,Card Game,Card Drafting,1,8,4,1: Need crib
506,132028,Conflict of Heroes: Awakening the Bear! (second edition),6.694,535,2012,120,1,4,,Wargame,Action Point Allowance System,6,10,2,2: Possible
507,75449,Firenze,6.693,1232,2010,60,2,4,,Economic,Area Control / Area Influence,0,10,3,3: Too much
508,129459,Duel of Ages II,6.692,694,2013,150,2,8,,Fantasy,Grid Movement,2,12,2,4: Unplayable
509,21441,Mykerinos,6.692,3324,2006,45,2,4,,,Area Control / Area Influence,2,10,4,1: Need crib
510,147151,Concept,6.691,2154,2013,40,4,12,,Party Game,Partnerships,0,10,6,4: Unplayable
511,34194,Aquaretto,6.69,2055,2008,45,2,5,Michael Schacht,,Set Collection,10,8,4,1: Need crib
512,12995,Dungeon Twister,6.69,4819,2004,60,2,2,,Fantasy,Action Point Allowance System,26,12,2,2: Possible
513,55697,Power Struggle,6.689,1817,2009,105,3,5,,Economic,Area Control / Area Influence,0,12,5,3: Too much
514,123607,Puzzle Strike (Third Edition),6.686,867,2012,20,2,4,,Card Game,Deck / Pool Building,2,10,2,4: Unplayable
515,7480,Sword of Rome,6.686,1175,2004,360,2,5,,Wargame,Campaign / Battle Card Driven,1,14,4,4: Unplayable
516,150997,Shadows of Brimstone: Swamps of Death,6.685,417,2014,60,1,4,,Dice,Co-operative Play,2,8,4,4: Unplayable
517,42452,Rattus,6.685,3985,2010,45,2,4,,,Area Control / Area Influence,9,8,4,1: Need crib
518,33604,Say Anything,6.685,3098,2008,30,3,8,,Party Game,Betting/Wagering,2,10,6,4: Unplayable
519,122294,Ascension: Immortal Heroes,6.684,815,2012,30,1,2,,Card Game,Card Drafting,20,10,2,3: Too much
520,105,Colossal Arena,6.684,5736,1997,60,2,5,Reiner Knizia,Card Game,Betting/Wagering,0,10,3,2: Possible
521,109125,Wallenstein (second edition),6.683,685,2012,120,3,5,,Economic,Action / Movement Programming,3,14,5,1: Need crib
522,10640,Doom: The Boardgame,6.681,4226,2004,180,2,4,,Dice,Dice Rolling,1,12,4,3: Too much
523,40270,Call of Cthulhu: The Card Game,6.681,2234,2008,30,2,2,,Card Game,Card Drafting,51,14,2,4: Unplayable
524,112138,Krosmaster: Arena,6.681,1473,2012,60,2,4,,Fantasy,Action Point Allowance System,46,12,2,3: Too much
525,730,Breakout: Normandy,6.68,777,1992,240,2,2,,Wargame,,0,14,2,1: Need crib
526,13823,Fairy Tale,6.68,5422,2004,20,2,5,,Card Game,Card Drafting,0,10,4,1: Need crib
527,135219,The Battle of Five Armies,6.679,477,2014,240,2,2,,Fantasy,Area Movement,0,12,2,4: Unplayable
528,15,Cosmic Encounter,6.678,3451,1977,90,2,6,,Science Fiction,Hand Management,11,10,4,3: Too much
529,19999,Aton,6.678,2623,2005,30,2,2,,,Area Control / Area Influence,0,10,2,1: Need crib
530,9203,Wings of War: Famous Aces,6.677,4177,2004,30,2,4,,Card Game,Action / Movement Programming,7,8,4,1: Need crib
531,1465,Wizard,6.675,4034,1984,45,3,6,,Card Game,Betting/Wagering,0,10,4,1: Need crib
532,24417,Factory Fun,6.675,2863,2006,45,2,5,,,Modular Board,1,10,4,1: Need crib
533,141572,Paperback,6.674,877,2014,45,2,5,,Card Game,Card Drafting,0,10,2,
534,105037,Tournay,6.673,1633,2011,60,2,4,,Card Game,Card Drafting,0,12,2,1: Need crib
535,89409,BattleCON: War of Indines,6.67,695,2010,15,2,4,,Card Game,Hand Management,14,10,2,4: Unplayable
536,40793,Dice Town,6.67,3971,2009,60,2,5,Bruno Cathala,Dice,Dice Rolling,2,8,4,2: Possible
537,92319,Olympos,6.669,1833,2011,75,3,5,,Fighting,Area Control / Area Influence,2,12,4,1: Need crib
538,26,Age of Renaissance,6.667,1830,1996,360,3,6,,Economic,Area Movement,0,14,5,4: Unplayable
539,196,Kremlin,6.666,2165,1986,75,3,6,,,Secret Unit Deployment,2,12,6,2: Possible
540,106,Mystery Rummy: Jack the Ripper,6.665,2456,1998,45,2,4,,Card Game,Hand Management,0,8,2,3: Too much
541,492,Aladdin's Dragons,6.665,2682,2000,90,3,5,,Fantasy,Auction/Bidding,0,8,5,3: Too much
542,354,Sticheln,6.663,1946,1993,60,3,8,,Card Game,Hand Management,0,10,4,1: Need crib
543,2081,The Civil War,6.661,828,1983,1200,2,2,,Wargame,Dice Rolling,0,16,2,2: Possible
544,3800,Himalaya,6.661,1817,2002,60,3,4,,Economic,Action / Movement Programming,1,10,4,1: Need crib
545,22141,Cleopatra and the Society of Architects,6.66,4972,2006,60,3,5,Bruno Cathala,,Auction/Bidding,0,10,4,2: Possible
546,72991,Asara,6.658,1710,2010,45,2,4,Wolfgang Kramer,Fantasy,Hand Management,2,10,4,1: Need crib
547,104347,Santiago de Cuba,6.656,2238,2011,60,2,4,,Economic,Commodity Speculation,4,10,2,1: Need crib
548,142326,Eight-Minute Empire: Legends,6.655,1148,2013,32,2,4,,,Area Control / Area Influence,3,8,4,2: Possible
549,16496,Roma,6.654,3616,2005,45,2,2,,Card Game,Action Point Allowance System,0,10,2,2: Possible
550,156776,"Warhammer 40,000: Conquest ",6.653,707,2014,45,2,2,,Card Game,Area Control / Area Influence,6,12,2,4: Unplayable
551,106662,Power Grid: The First Sparks,6.651,2542,2011,60,2,6,Friedemann Friese,Economic,Area Movement,1,12,4,2: Possible
552,101785,D-Day Dice,6.65,2438,2012,45,1,4,,Dice,Co-operative Play,13,10,1,3: Too much
553,12761,Ys,6.648,2169,2004,90,2,4,,,Area Control / Area Influence,1,12,4,1: Need crib
554,2338,Starship Catan,6.645,3484,2001,60,2,2,Klaus Teuber,Card Game,Dice Rolling,3,10,2,3: Too much
555,19622,A Victory Lost,6.643,745,2006,360,2,2,,Wargame,Chit-Pull System,0,14,2,1: Need crib
556,123499,City of Iron,6.641,874,2013,120,2,4,,Economic,Action Point Allowance System,1,12,4,2: Possible
557,163412,Patchwork,6.64,707,2014,15,2,2,Uwe Rosenberg,Abstract Strategy,Card Drafting,0,6,2,1: Need crib
558,142079,Space Cadets: Dice Duel,6.636,1538,2013,30,4,8,,Dice,Action / Movement Programming,2,10,8,1: Need crib
559,21550,Blokus Trigon,6.635,2160,2006,20,2,4,,Abstract Strategy,Hand Management,0,6,3,1: Need crib
560,10,Elfenland,6.635,5859,1998,60,2,6,Alan R. Moon,Fantasy,Card Drafting,3,8,4,1: Need crib
561,22038,Warrior Knights,6.635,3101,2006,180,2,6,Bruno Faidutti,Wargame,Area Movement,1,14,4,4: Unplayable
562,254,Empires in Arms,6.633,964,1983,6000,2,7,,Economic,Area Movement,1,16,7,4: Unplayable
563,94362,Rune Age,6.633,2827,2011,60,1,4,,Card Game,Co-operative Play,1,12,2,3: Too much
564,92415,Skull,6.632,2518,2011,45,3,6,,Card Game,Auction/Bidding,1,8,5,1: Need crib
565,1231,Bausack,6.631,2705,1987,45,2,8,,,Auction/Bidding,1,6,4,1: Need crib
566,16986,Ubongo,6.631,4271,2003,30,2,4,,,Pattern Building,1,6,4,1: Need crib
567,129051,Le Havre: The Inland Port,6.63,1401,2012,30,2,2,Uwe Rosenberg,Economic,Action Point Allowance System,0,12,2,1: Need crib
568,156566,Lords of Xidit,6.63,849,2014,90,3,5,,Fantasy,Action / Movement Programming,1,10,4,1: Need crib
569,120523,Nothing Personal,6.63,1035,2013,120,3,5,,,Area Control / Area Influence,3,12,5,2: Possible
570,6411,Blokus 3D,6.628,3099,2003,15,2,4,,Abstract Strategy,Hand Management,1,6,4,1: Need crib
571,37387,Steel Driver,6.626,1645,2008,60,3,6,Martin Wallace,,Auction/Bidding,0,10,4,1: Need crib
572,63268,Spot it!,6.626,3319,2009,15,2,8,,Card Game,Pattern Recognition,1,4,4,1: Need crib
573,1499,World in Flames,6.625,1030,1985,6000,2,7,,Wargame,Area Movement,25,16,5,2: Possible
574,17329,Animal Upon Animal,6.624,2660,2005,15,2,4,,Children's Game,Dice Rolling,1,3,4,1: Need crib
575,140933,Blueprints,6.623,1721,2013,30,2,4,,Dice,Dice Rolling,0,8,4,1: Need crib
576,139030,Mascarade,6.622,3331,2013,30,2,13,Bruno Faidutti,Party Game,Memory,3,8,7,1: Need crib
577,38862,Giants,6.622,1781,2008,90,3,5,,,Auction/Bidding,1,12,4,1: Need crib
578,73369,51st State,6.622,2003,2010,90,2,4,,Card Game,Card Drafting,5,12,2,1: Need crib
579,38765,Ground Floor,6.621,1120,2012,150,2,6,,Economic,Worker Placement,1,14,4,2: Possible
580,9446,Blue Moon,6.621,4691,2004,30,2,2,Reiner Knizia,Card Game,Auction/Bidding,14,10,2,4: Unplayable
581,620,We the People,6.621,998,1994,120,2,2,Mark Herman,Wargame,Area Control / Area Influence,1,10,2,3: Too much
582,146418,Warhammer: Diskwars,6.62,803,2013,60,2,4,,Dice,Campaign / Battle Card Driven,2,12,2,4: Unplayable
583,125678,DC Comics Deck-Building Game,6.62,2343,2012,45,2,5,,Card Game,Deck / Pool Building,8,8,3,3: Too much
584,38343,Ad Astra,6.619,2230,2009,60,3,5,Bruno Faidutti,Science Fiction,Action / Movement Programming,0,12,4,2: Possible
585,481,Carolus Magnus,6.619,2822,2000,60,2,4,,,Area Control / Area Influence,0,10,3,1: Need crib
586,42124,Dungeon Twister 2: Prison,6.616,908,2009,60,1,2,,Fantasy,Action Point Allowance System,22,10,2,2: Possible
587,878,Wyatt Earp,6.613,3212,2001,60,2,4,,Card Game,Hand Management,0,10,3,3: Too much
588,84,Rommel in the Desert,6.613,792,1982,150,2,2,,Wargame,Dice Rolling,0,14,2,2: Possible
589,155873,Power Grid deluxe: Europe/North America,6.613,415,2014,120,2,6,Friedemann Friese,Economic,Auction/Bidding,0,,4,1: Need crib
590,3072,Necromunda,6.612,1343,1995,30,2,4,,Fighting,Dice Rolling,2,12,2,3: Too much
591,701,A House Divided,6.61,1528,1981,240,2,2,Frank Chadwick,Wargame,Dice Rolling,0,12,2,1: Need crib
592,19237,Ca$h 'n Gun$,6.609,7747,2005,30,4,6,,Card Game,Player Elimination,4,10,6,1: Need crib
593,43443,Castle Panic,6.609,6578,2009,60,1,6,,Fantasy,Campaign / Battle Card Driven,5,6,4,2: Possible
594,37907,Diamonds Club,6.608,1447,2008,75,2,4,,Economic,Set Collection,0,10,4,1: Need crib
595,125548,Pixel Tactics,6.608,877,2012,45,2,2,,Card Game,Hand Management,22,12,2,4: Unplayable
596,39684,Merkator,6.605,1613,2010,120,1,4,Uwe Rosenberg,Economic,Pick-up and Deliver,1,10,2,3: Too much
597,117985,Star Trek: Catan,6.605,1245,2012,75,3,4,Klaus Teuber,Science Fiction,Dice Rolling,1,8,4,2: Possible
598,220,High Society,6.603,3750,1995,15,3,5,Reiner Knizia,Card Game,Auction/Bidding,0,10,4,1: Need crib
599,71906,Castaways,6.602,1064,2013,120,1,4,,,Dice Rolling,0,12,4,4: Unplayable
600,115,I'm the Boss!,6.598,2670,1994,60,2,6,,,Hand Management,0,10,6,1: Need crib
601,242,Junta,6.597,3855,1978,240,2,7,,Wargame,Area Movement,1,14,7,4: Unplayable
602,21920,Leonardo da Vinci,6.597,3051,2006,90,2,5,,,Area Control / Area Influence,2,12,4,1: Need crib
603,6351,Gulo Gulo,6.597,2411,2003,20,2,6,Wolfgang Kramer,Children's Game,Modular Board,0,3,4,1: Need crib
604,3284,Star Wars: Epic Duels,6.596,2366,2002,30,2,6,,Fighting,Campaign / Battle Card Driven,0,8,2,3: Too much
605,1897,Starfarers of Catan,6.596,3955,1999,120,3,4,Klaus Teuber,Science Fiction,Trading,1,10,4,3: Too much
606,73,Show Manager,6.594,1275,1996,60,2,6,,Card Game,Card Drafting,0,10,6,1: Need crib
607,103092,Helvetia,6.591,1341,2011,90,2,4,,,Action Point Allowance System,1,12,4,1: Need crib
608,57925,Havana,6.59,2092,2009,45,2,4,Reinhard Staupe,,Hand Management,0,10,3,2: Possible
609,148319,Tragedy Looper,6.59,693,2011,120,2,4,,,Co-operative Play,5,14,4,3: Too much
610,131366,Eight-Minute Empire,6.59,2869,2012,15,2,5,,,Area Control / Area Influence,1,8,3,1: Need crib
611,24773,On the Underground,6.588,2009,2006,60,2,5,,,Route/Network Building,2,10,3,1: Need crib
612,102548,Dungeon Fighter,6.584,2150,2011,45,1,6,,Dice,Card Drafting,7,8,3,1: Need crib
613,156714,Doomtown: Reloaded,6.583,614,2014,30,2,4,,Card Game,Area Control / Area Influence,4,14,2,4: Unplayable
614,9220,Saboteur,6.583,11715,2004,30,3,10,,Card Game,Hand Management,2,8,7,1: Need crib
615,61692,Axis & Allies Europe 1940,6.583,836,2010,360,2,6,,Economic,Area Control / Area Influence,1,14,4,2: Possible
616,35435,Nefertiti,6.583,1533,2008,45,3,4,,,Auction/Bidding,2,10,4,1: Need crib
617,22,Magic Realm,6.582,1519,1979,240,1,16,,Fantasy,Action / Movement Programming,0,14,3,3: Too much
618,85256,Timeline: Inventions,6.58,2963,2010,15,2,8,,Card Game,,0,8,4,3: Too much
619,21954,Perikles,6.579,1676,2006,120,3,5,Martin Wallace,Fighting,Area Control / Area Influence,0,12,5,2: Possible
620,92190,Super Dungeon Explore,6.578,1585,2011,120,2,6,,Fantasy,Action Point Allowance System,20,10,4,3: Too much
621,15839,Bonaparte at Marengo,6.578,817,2005,120,2,2,,Wargame,Action Point Allowance System,0,14,2,1: Need crib
622,90040,Pergamon,6.576,1643,2011,45,2,4,,,Set Collection,0,10,3,1: Need crib
623,87890,PrÃªt-Ã -Porter,6.576,953,2010,90,2,4,,Economic,Card Drafting,0,14,4,2: Possible
624,826,Cartagena,6.575,5647,2000,45,2,5,,,Hand Management,0,8,3,1: Need crib
625,70,Big City,6.575,2020,1999,60,2,5,,,Hand Management,0,10,3,1: Need crib
626,146886,La Granja,6.575,500,2014,120,1,4,,Dice,Area Control / Area Influence,0,10,3,3: Too much
627,5716,Balloon Cup,6.575,4691,2003,30,2,2,,Card Game,Hand Management,0,10,2,1: Need crib
628,75476,Inca Empire,6.574,1155,2010,120,3,4,,,Route/Network Building,1,12,4,1: Need crib
629,41916,The Magic Labyrinth,6.574,1916,2009,15,2,4,,Children's Game,Grid Movement,1,4,4,1: Need crib
630,138431,Galaxy Defenders,6.573,601,2014,120,1,5,,Fighting,Co-operative Play,5,12,3,3: Too much
631,16992,Tsuro,6.573,9757,2004,15,2,8,,Abstract Strategy,Hand Management,0,6,4,1: Need crib
632,151007,Pathfinder Adventure Card Game: Skull & Shackles â€“ Base Set,6.572,484,2014,120,1,4,,Card Game,Co-operative Play,26,10,4,4: Unplayable
633,1662,"Napoleon: The Waterloo Campaign, 1815 ",6.572,952,1974,120,2,3,,Wargame,Dice Rolling,0,12,2,1: Need crib
634,56931,Arena: Roma II,6.572,1400,2009,30,2,2,,Card Game,Action Point Allowance System,0,12,2,3: Too much
635,1540,BattleTech,6.571,2517,1985,90,2,20,,Fighting,Dice Rolling,113,12,2,3: Too much
636,88827,Battle Cry: 150th Civil War Anniversary Edition,6.571,633,2010,45,2,2,,Wargame,Dice Rolling,0,10,2,2: Possible
637,29937,KÃ¶nig von Siam,6.57,1757,2007,30,2,4,,,Area Control / Area Influence,0,12,3,1: Need crib
638,1915,Middle-Earth,6.57,1387,1995,90,1,5,,Card Game,Area Movement,0,12,2,4: Unplayable
639,56692,Parade,6.569,2074,2007,60,2,6,,Card Game,Hand Management,0,8,4,1: Need crib
640,54361,Heroscape Master Set:  Battle for the Underdark,6.569,790,2010,60,2,2,,Fantasy,Dice Rolling,4,8,2,3: Too much
641,38863,Hab & Gut,6.567,1321,2008,45,3,5,,Economic,Stock Holding,0,10,4,1: Need crib
642,104955,Antike Duellum,6.565,883,2012,75,2,2,,Fighting,Area Control / Area Influence,0,12,2,2: Possible
643,2961,Confusion:  Espionage and Deception in the Cold War,6.565,1000,1992,45,2,2,,Abstract Strategy,Grid Movement,0,12,2,1: Need crib
644,2393,Xiangqi,6.564,1256,,60,2,2,(Uncredited),Abstract Strategy,Grid Movement,0,6,2,1: Need crib
645,107255,Evo (second edition),6.564,1367,2011,60,2,5,,Science Fiction,Area Movement,0,10,4,3: Too much
646,168,Empire Builder,6.563,2225,1982,180,2,6,,Economic,Action / Movement Programming,4,10,3,2: Possible
647,1403,Turn the Tide,6.562,2671,1997,30,3,5,,Card Game,Hand Management,0,10,4,1: Need crib
648,5206,Ogre,6.561,1841,1977,45,1,3,Steve Jackson (I),Fighting,Dice Rolling,16,10,2,2: Possible
649,153065,Linko!,6.561,1030,2014,25,2,5,Wolfgang Kramer,Card Game,Card Drafting,1,8,4,1: Need crib
650,15953,Wings of War: Burning Drachens,6.56,1198,2005,45,1,2,,Card Game,Action / Movement Programming,7,8,2,1: Need crib
651,204,Stephensons Rocket,6.559,1949,1999,60,2,4,Reiner Knizia,,Area Control / Area Influence,0,10,4,1: Need crib
652,23679,Warriors of God,6.557,791,2008,180,2,2,,Wargame,Area Movement,2,12,2,1: Need crib
653,2122,Vampire: The Eternal Struggle,6.555,1733,1994,120,2,5,,Card Game,Hand Management,0,12,5,4: Unplayable
654,36522,2 de Mayo,6.555,1545,2008,20,2,2,,Wargame,Area Movement,1,12,2,2: Possible
655,112,Condottiere,6.553,5154,1995,45,2,6,,Card Game,Area Control / Area Influence,0,10,5,1: Need crib
656,37141,Time's Up! Deluxe,6.552,627,2008,90,4,18,,Party Game,Memory,0,12,6,1: Need crib
657,37358,Founding Fathers,6.552,1339,2010,90,3,5,,,Area Control / Area Influence,0,12,4,4: Unplayable
658,9910,Wings of War: Watch Your Back!,6.551,1607,2005,30,2,4,,Card Game,Action / Movement Programming,7,10,4,1: Need crib
659,2065,Shogi,6.551,897,,60,2,2,(Uncredited),Abstract Strategy,Grid Movement,0,8,2,1: Need crib
660,31497,Oregon,6.549,2582,2007,45,2,4,,,Area Control / Area Influence,0,10,3,1: Need crib
661,31552,Wings of War: Deluxe Set,6.545,888,2007,45,2,4,,Card Game,Action / Movement Programming,3,6,4,1: Need crib
662,127518,A Distant Plain,6.544,454,2013,180,1,4,,Wargame,Area Control / Area Influence,0,14,4,4: Unplayable
663,925,Werewolf,6.544,3379,1986,60,8,24,,Party Game,Partnerships,4,8,13,1: Need crib
664,39217,Fighting Formations: Grossdeutschland Motorized Infantry Division,6.543,601,2011,180,2,2,,Wargame,Dice Rolling,0,12,2,3: Too much
665,155703,Evolution,6.543,948,2014,60,2,6,,Card Game,Hand Management,1,8,4,3: Too much
666,12166,Funkenschlag,6.543,648,2001,180,2,6,Friedemann Friese,Economic,Auction/Bidding,0,14,4,1: Need crib
667,1115,Poker,6.542,5789,,60,2,10,(Uncredited),Card Game,Betting/Wagering,1,14,6,1: Need crib
668,15512,Diamant,6.542,4415,2005,30,3,8,Bruno Faidutti,,Press Your Luck,0,6,6,1: Need crib
669,14254,PitchCar Mini,6.54,1414,2003,30,2,8,,,,4,5,6,1: Need crib
670,157,Eurorails,6.539,1417,1990,180,2,6,,Economic,Pick-up and Deliver,1,10,3,1: Need crib
671,38992,Royal Palace,6.538,1691,2008,60,2,4,,,Action Point Allowance System,0,10,3,1: Need crib
672,83195,Ghost Blitz,6.538,2215,2010,20,2,8,,Card Game,Pattern Recognition,0,5,5,1: Need crib
673,3565,Mordheim: City of the Damned,6.537,1187,1999,60,2,6,,Fantasy,Dice Rolling,0,12,2,1: Need crib
674,91984,QuÃ©bec,6.537,950,2011,75,2,5,,,Area Control / Area Influence,1,12,4,1: Need crib
675,94104,Omen: A Reign of War,6.537,665,2011,30,2,2,,Card Game,Area Control / Area Influence,4,12,2,3: Too much
676,7805,Fearsome Floors,6.537,5420,2003,60,2,7,Friedemann Friese,,Grid Movement,0,8,4,1: Need crib
677,148951,Tiny Epic Kingdoms,6.536,1596,2014,30,2,5,,Fantasy,Action Point Allowance System,1,10,4,2: Possible
678,138233,Ascension: Rise of Vigil,6.536,745,2013,30,2,4,,Card Game,Card Drafting,20,10,2,3: Too much
679,39339,Android,6.534,2846,2008,180,3,5,,Science Fiction,Action Point Allowance System,3,14,3,4: Unplayable
680,8129,Zing!,6.533,1623,2003,30,3,5,,Card Game,Trick-taking,1,10,5,1: Need crib
681,144529,Theseus: The Dark Orbit,6.531,760,2013,45,2,4,,Fighting,Partnerships,2,10,2,3: Too much
682,3955,BANG!,6.531,15716,2002,40,4,7,,Card Game,Hand Management,14,10,7,2: Possible
683,163602,XCOM: The Board Game,6.531,701,2015,90,1,4,,Dice,Co-operative Play,0,12,4,4: Unplayable
684,42487,Lost Cities: The Board Game,6.531,2070,2008,60,2,4,Reiner Knizia,,Hand Management,0,6,3,1: Need crib
685,164928,OrlÃ©ans,6.53,583,2014,90,2,4,,,Card Drafting,1,10,2,1: Need crib
686,86246,Drum Roll,6.53,1191,2011,90,2,4,,Economic,Card Drafting,7,10,4,1: Need crib
687,25224,Hermagor,6.529,1538,2006,90,2,5,,Economic,Area Control / Area Influence,0,8,5,1: Need crib
688,9215,Revolution: The Dutch Revolt 1568-1648,6.528,772,2004,300,2,5,,Wargame,Area Control / Area Influence,0,12,5,1: Need crib
689,2842,TransAmerica,6.526,6066,2001,30,2,6,,,Route/Network Building,1,8,5,1: Need crib
690,63543,Horus Heresy,6.524,1118,2010,135,2,2,,Science Fiction,Area Movement,0,14,2,4: Unplayable
691,131260,Qwixx,6.524,1957,2012,15,2,5,,Dice,Dice Rolling,1,8,4,1: Need crib
692,157403,Black Fleet,6.523,899,2014,60,3,4,,,Pick-up and Deliver,0,8,4,3: Too much
693,681,Quarto!,6.523,2840,1991,20,2,2,,Abstract Strategy,Pattern Building,0,8,2,1: Need crib
694,103185,Walnut Grove,6.522,1305,2011,60,1,4,,,Tile Placement,0,10,4,1: Need crib
695,3228,Pueblo,6.52,1837,2002,60,2,4,Wolfgang Kramer,Abstract Strategy,Tile Placement,0,10,3,1: Need crib
696,113401,Timeline: Historical Events,6.519,1418,2011,15,2,8,,Card Game,,0,8,4,2: Possible
697,10093,Axis & Allies,6.519,4666,2004,240,2,5,,Economic,Area Movement,1,12,5,2: Possible
698,65564,Hornet Leader: Carrier Air Operations,6.518,461,2010,60,1,1,Dan Verssen,Wargame,Card Drafting,1,12,1,3: Too much
699,28089,ChÃ¢teau Roquefort,6.518,1770,2007,30,2,4,,Children's Game,Action Point Allowance System,2,6,4,1: Need crib
700,11825,Empire of the Sun,6.517,611,2005,360,2,2,Mark Herman,Wargame,Action Point Allowance System,0,14,2,4: Unplayable
701,41933,Arctic Scavengers,6.517,1303,2009,45,2,5,,Card Game,Card Drafting,2,10,4,2: Possible
702,1829,Risk 2210 A.D.,6.517,4949,2001,240,2,5,,Science Fiction,Area Control / Area Influence,15,10,4,3: Too much
703,232,Serenissima (first edition),6.517,1944,1996,120,2,4,,Economic,Pick-up and Deliver,0,12,4,1: Need crib
704,424,1870,6.517,738,1992,360,2,6,,Economic,Auction/Bidding,1,12,4,1: Need crib
705,71836,Onirim,6.516,2848,2010,15,1,2,,Card Game,Card Drafting,0,8,1,1: Need crib
706,36811,The Princes of Machu Picchu,6.515,1343,2008,90,2,5,,Economic,Area Movement,0,12,4,1: Need crib
707,38386,A Castle for All Seasons,6.514,2404,2008,60,2,4,,,Simultaneous Action Selection,1,10,4,2: Possible
708,2808,The Russian Campaign,6.514,1063,1974,360,1,2,,Wargame,Hex-and-Counter,0,12,2,2: Possible
709,77,EastFront,6.514,583,1991,240,2,2,,Wargame,Dice Rolling,2,14,2,1: Need crib
710,1887,Legend of the Five Rings,6.514,1298,1995,45,2,8,,Card Game,Card Drafting,2,12,2,4: Unplayable
711,25277,Richard III: The Wars of the Roses,6.512,684,2009,120,2,2,,Wargame,Area Movement,0,14,2,1: Need crib
712,123096,Space Cadets,6.51,1929,2012,90,3,6,,Science Fiction,Co-operative Play,2,10,5,2: Possible
713,32666,Wealth of Nations,6.51,1451,2008,120,3,6,,Economic,Commodity Speculation,2,12,4,1: Need crib
714,2570,Atlantic Star,6.509,1595,2001,60,2,6,,Card Game,Set Collection,0,10,3,1: Need crib
715,18748,Unhappy King Charles!,6.509,551,2008,240,2,2,,Wargame,Campaign / Battle Card Driven,0,14,2,4: Unplayable
