Age,Weight,Height,BattingAvg,OnBasePct,HomeRunRate,SlugRate,RBIRate,WalkRate,StrikeRate,StolenBases,HitByPitch,PutOutRate,AssistRate,ErrorRate,Salary
20.91666667,192,73,0.275641,0.3958333,0.051282,0.5,0.176282,0.1201923,0.238782,0.0125786,0.0377358,0.6477987,1.7547169,0.1069182,350833.3333
29.66666667,170,71,0.2063492,0.2730158,0.031746,0.3682539,0.1174603,0.0666666,0.1777777,0,0.0263157,6.0087719,0.3947368,0.0614035,699285.7143
23.91666667,180,71,0.2446808,0.2978723,0.0106382,0.3297872,0.0957446,0.0531914,0.2553191,0.1397849,0,1.9361346,1.1274476,0.1388511,312500
27.33333333,195,75,0.2153392,0.2861356,0.0235988,0.3480825,0.1032448,0.0707964,0.1710914,0.0178571,0,1.0273793,1.6610169,0.0774119,664166.6667
24.25,165,71,0.2444444,0.3777777,0.0333333,0.4,0.0666666,0.1333333,0.3,0.1,0.02,1.1927083,0,0,250000
36.58333333,228,73,0.3619302,0.9839142,0.1206434,0.8123324,0.2707774,0.6219839,0.1099195,0.0408163,0.0612244,1.6090225,0.0827067,0.0300751,6914730.632
31.33333333,180,70,0.2512647,0.3456998,0.0404721,0.4232715,0.1399662,0.094435,0.2276559,0.0675675,0.0202702,1.8918918,2.3648648,0.0945945,3318333.333
37.41666667,200,74,0.2371967,0.2466306,0.0094339,0.3319855,0.1066936,0.0094339,0.2322551,0.0789473,0.0263157,5.3421052,0.4736842,0.1052631,722961.5385
22.33333333,180,72,0.2674418,0.4050387,0.0368217,0.4244186,0.1298449,0.1375968,0.238372,0.1063829,0.0425531,2.2078852,0.0805397,0.0573476,618075
31.75,180,69,0.1914893,0.2765957,0.0425531,0.3723404,0.0957446,0.0851063,0.3085106,0.0263157,0,2.3084415,0.090909,0.0357142,406642.8571
26,195,75,0.2341772,0.3607594,0.0696202,0.5253164,0.170886,0.1265822,0.4303797,0.0196078,0.0392156,0.7954545,2.0681818,0.1136363,288333.3333
24.75,220,74,0.2751196,0.3995215,0.0406698,0.4880382,0.1961722,0.1244019,0.2272727,0.0287769,0.0863309,7.4511278,0.5789473,0.0451127,313550
22.25,215,72,0.251282,0.3076923,0.0205128,0.3487179,0.1230769,0.0564102,0.2564102,0.0338983,0.0169491,1.7547169,0.0754716,0.0566037,257250
22.25,200,72,0.25,0.3846153,0.076923,0.5192307,0.1538461,0.1346153,0.25,0.0888888,0,0.5151515,0.8484848,0.090909,307500
27.58333333,230,76,0.2,0.3,0.0333333,0.3333333,0.1,0.1,0.3166666,0,0.0263157,0.6666666,0,0,351250
23.08333333,205,77,0.137931,0.137931,0,0.137931,0.0344827,0,0.3793103,0,0,0.5,0.9,0,1003583.333
31.33333333,190,72,0.2833333,0.3907407,0.0685185,0.5592592,0.2037037,0.1074074,0.2296296,0.0333333,0.0333333,1.5651911,0.0446401,0.0430239,3259848.545
24.83333333,225,76,0.2566964,0.4308035,0.0535714,0.4553571,0.1875,0.1741071,0.2901785,0.015748,0.015748,1.7786885,0.0737704,0.0327868,2327500
20.75,200,74,0.2982791,0.3575525,0.003824,0.3652007,0.0898661,0.0592734,0.0994263,0.0384615,0.0692307,0.8,1.672,0.112,280666.6667
23.66666667,225,72,0.2283236,0.2919075,0.0144508,0.3208092,0.0953757,0.0635838,0.1965317,0.0188679,0.0660377,2.1195652,0.0434782,0.0217391,327500
31,185,73,0.2,0.3666666,0,0.2,0.1333333,0.1666666,0.2333333,0,0,0.368421,0.7894736,0.1578947,1519666.667
24.16666667,205,74,0.2829525,0.3637961,0.0351493,0.4674868,0.1282952,0.0808435,0.195079,0.1188811,0.083916,1.6522564,0.0683763,0.0162172,314000
29,177,72,0.2701949,0.3147632,0.016713,0.3844011,0.1309192,0.0445682,0.194986,0.0884955,0.0707964,2.4670462,1.050552,0.0515872,428200
17.33333333,185,74,0.2935323,0.4063018,0.0547263,0.5124378,0.1857379,0.1127694,0.2454394,0.03125,0.0375,1.629661,0.0858474,0.0519491,242787
26.91666667,165,71,0.2700067,0.3300269,0.018286,0.4004048,0.107726,0.0600202,0.0901821,0.0927351,0.0183293,1.4119332,2.7251172,0.1048288,1814357.143
26.41666667,160,72,0.2916666,0.3416666,0.0166666,0.4166666,0.1166666,0.05,0.1361111,0.0901639,0.114754,1.7256637,2.4336283,0.0530973,512500
24.75,210,73,0.1666666,0.2261904,0.0119047,0.2261904,0.1190476,0.0595238,0.2619047,0.0434782,0,1.6666666,0,0,306250
27.08333333,170,73,0.2312373,0.3468559,0.0608519,0.4787018,0.1541582,0.1156186,0.2900608,0.1571428,0.0571428,2.6222222,0.0518518,0.0592592,2296733.4
22.66666667,210,75,0.2,0.2333333,0,0.2666666,0.0666666,0.0333333,0.3333333,0,0.0588235,0.1764705,0.9411764,0,305000
25.33333333,215,78,0.0806451,0.0967741,0,0.0806451,0.016129,0.016129,0.3387096,0,0,0.4285714,1.2142857,0.0357142,1023749.875
26.16666667,175,70,0.2889908,0.4357798,0,0.3715596,0.0733944,0.1467889,0.0963302,0.0490196,0.0098039,1.1312217,1.9509803,0.0867269,305000
26.58333333,215,76,0.3239929,0.4045534,0.0420315,0.5341506,0.17338,0.0805604,0.0630472,0.0136986,0.0684931,8.5034482,0.3862068,0.0551724,2885000
24,185,72,0.1933701,0.2486187,0.0220994,0.3093922,0.116022,0.0552486,0.3259668,0,0.0666666,5.2666666,0.6,0.0333333,302000
30.16666667,185,72,0.2696629,0.4269662,0.0112359,0.3707865,0.1235955,0.1573033,0.1123595,0,0,6.8620689,0.3793103,0.0344827,354142.8571
19.25,200,73,0.2558746,0.3159268,0.0208877,0.3681462,0.1018276,0.0600522,0.2402088,0.0232558,0.0077519,1.8699186,2.4471544,0.0894308,300000
25.75,145,71,0.2907801,0.4237588,0.003546,0.3475177,0.0833333,0.1329787,0.1205673,0.14,0.0066666,1.8581081,2.7432432,0.0405405,1791074.111
33.58333333,185,73,0.271012,0.3584905,0.0600343,0.5351629,0.2246998,0.0874785,0.193825,0,0.0405405,0.8378378,2.1351351,0.0405405,2979730.769
28.5,165,70,0.2441471,0.2909698,0.0167224,0.3779264,0.0869565,0.0468227,0.1705685,0.009009,0,0.9231458,1.8724841,0.0706506,411000
24.25,225,75,0.1354166,0.25,0.03125,0.2604166,0.0833333,0.1145833,0.3125,0,0.03125,6.1935483,0.3870967,0.0645161,266000
26.33333333,170,72,0.2931726,0.3614457,0.004016,0.3895582,0.1044176,0.068273,0.1325301,0.0133333,0.0533333,1.6341463,0.0243902,0.0487804,1219642.857
26.66666667,165,73,0.265,0.36,0.015,0.375,0.115,0.095,0.205,0.0526315,0,0.80559,0.0434782,0,1892550
22.16666667,165,72,0.2768924,0.3366533,0.0099601,0.3705179,0.067729,0.0597609,0.0796812,0.2424242,0.0075757,2.3700787,0.0708661,0.03937,300000
24,204,72,0.2757894,0.4757894,0.0610526,0.5010526,0.1621052,0.2,0.208421,0.048,0.024,0.904,2.208,0.104,2031833.333
27.25,175,71,0.2098765,0.2716049,0,0.2592592,0.1419753,0.0617283,0.2345679,0,0,6.4754098,0.4754098,0.0655737,241333.3333
21.25,235,77,0.2158764,0.3971128,0.0266903,0.3682986,0.1195614,0.1812363,0.2839512,0.0052631,0.0319184,7.5505617,0.4477283,0.0666829,307500
23,170,73,0.2624113,0.3173758,0.0070921,0.3634751,0.0868794,0.0549645,0.1046099,0.0194805,0.012987,1.3984962,2.6503759,0.1090225,335000
31.75,190,74,0.2133333,0.28,0.0133333,0.2933333,0.0933333,0.0666666,0.1866666,0,0,0.7272727,0.9090909,0,3070954.545
27.33333333,195,74,0.2804532,0.4305949,0.01983,0.3966005,0.1303116,0.1501416,0.1359773,0.1086956,0.0652173,1.7804878,0.0325203,0.0325203,307166.6667
28.5,240,79,0.2213438,0.3241106,0.0632411,0.458498,0.1936758,0.1027667,0.3636363,0,0.0188679,6.090909,0.4949494,0.040404,2221125
