Result,Late,Month,Day,Count,Fraction
8,1,1,21,8189,0.024786309
0,0,1,22,164778,0.496622935
1,0,1,22,89776,0.270575081
2,1,1,22,29453,0.088768132
3,1,1,22,20549,0.061932447
4,1,1,22,11302,0.034062996
5,1,1,22,3782,0.011398536
6,1,1,22,540,0.001627501
7,1,1,22,859,0.002588932
8,1,1,22,10758,0.03242344
0,0,1,23,168556,0.506467713
1,0,1,23,91169,0.273939551
2,1,1,23,29026,0.087215714
3,1,1,23,18811,0.056522249
4,1,1,23,9987,0.030008383
5,1,1,23,3271,0.009828519
6,1,1,23,425,0.001277016
7,1,1,23,832,0.002499947
8,1,1,23,10730,0.032240908
0,0,1,24,176529,0.528818098
1,0,1,24,92742,0.277822047
2,1,1,24,29396,0.088059961
3,1,1,24,18053,0.054080367
4,1,1,24,7950,0.023815372
5,1,1,24,2117,0.006341779
6,1,1,24,286,0.000856754
7,1,1,24,607,0.001818356
8,1,1,24,6138,0.018387265
0,0,1,25,176578,0.531581245
1,0,1,25,85050,0.256039738
2,1,1,25,26481,0.079720027
3,1,1,25,18077,0.05442011
4,1,1,25,9426,0.028376609
5,1,1,25,2878,0.008664108
6,1,1,25,398,0.001198164
7,1,1,25,909,0.002736509
8,1,1,25,12378,0.037263491
0,0,1,26,167146,0.505758186
1,0,1,26,87335,0.264262329
2,1,1,26,28918,0.087501437
3,1,1,26,20724,0.062707649
4,1,1,26,11573,0.035018125
5,1,1,26,3685,0.011150245
6,1,1,26,453,0.001370709
7,1,1,26,818,0.002475143
8,1,1,26,9834,0.029756177
0,0,1,27,171691,0.521304148
1,0,1,27,87824,0.26665938
2,1,1,27,27484,0.083449472
3,1,1,27,17729,0.053830435
4,1,1,27,9463,0.028732439
5,1,1,27,3597,0.010921545
6,1,1,27,524,0.001591017
7,1,1,27,928,0.00281768
8,1,1,27,10109,0.030693884
0,0,1,28,177580,0.536805226
1,0,1,28,88033,0.266114283
2,1,1,28,26700,0.080711226
3,1,1,28,16777,0.050715065
4,1,1,28,8733,0.026398919
5,1,1,28,3044,0.009201684
6,1,1,28,380,0.001148699
7,1,1,28,718,0.002170437
8,1,1,28,8844,0.02673446
0,0,1,29,170790,0.515380855
1,0,1,29,89600,0.270379557
2,1,1,29,28239,0.085214825
3,1,1,29,17972,0.054232828
4,1,1,29,9719,0.029328336
5,1,1,29,2872,0.00866663
6,1,1,29,568,0.001714013
7,1,1,29,785,0.002368839
8,1,1,29,10841,0.032714116
0,0,1,30,174932,0.525893013
1,0,1,30,90585,0.272323066
2,1,1,30,28600,0.085979353
3,1,1,30,17494,0.052591706
4,1,1,30,8350,0.025102364
5,1,1,30,2218,0.006667909
6,1,1,30,312,0.000937957
7,1,1,30,679,0.002041258
8,1,1,30,9468,0.028463375
0,0,1,31,176650,0.529161549
1,0,1,31,90916,0.27234221
2,1,1,31,27658,0.082850553
3,1,1,31,18213,0.054557709
4,1,1,31,9197,0.027549951
5,1,1,31,2687,0.008049007
6,1,1,31,425,0.001273103
7,1,1,31,557,0.001668514
8,1,1,31,7527,0.022547404
0,0,2,1,175737,0.529703254
1,0,2,1,89384,0.269419619
2,1,2,1,27769,0.083700812
3,1,2,1,18215,0.05490332
4,1,2,1,9262,0.027917351
5,1,2,1,2766,0.008337227
6,1,2,1,401,0.001208687
7,1,2,1,660,0.00198936
8,1,2,1,7571,0.02282037
0,0,2,2,169170,0.512020388
1,0,2,2,87080,0.263561715
2,1,2,2,29203,0.088387606
3,1,2,2,21151,0.064016925
4,1,2,2,11555,0.034973078
5,1,2,2,3069,0.009288825
6,1,2,2,311,0.000941292
7,1,2,2,729,0.002206436
8,1,2,2,8129,0.024603734
0,0,2,3,166156,0.505294529
1,0,2,3,85654,0.2604811
2,1,2,3,29454,0.089572119
3,1,2,3,21888,0.06656327
4,1,2,3,11465,0.03486604
5,1,2,3,3706,0.011270261
6,1,2,3,595,0.001809446
7,1,2,3,907,0.002758264
8,1,2,3,9005,0.027384971
0,0,2,4,163694,0.495008906
1,0,2,4,89432,0.270441412
2,1,2,4,30544,0.092364729
3,1,2,4,21245,0.064244653
4,1,2,4,10684,0.032308302
5,1,2,4,3014,0.009114304
6,1,2,4,427,0.001291243
7,1,2,4,972,0.002939318
8,1,2,4,10677,0.032287134
0,0,2,5,175071,0.528500272
1,0,2,5,87231,0.263330918
2,1,2,5,27254,0.082273743
3,1,2,5,17768,0.053637626
4,1,2,5,9449,0.028524422
5,1,2,5,3190,0.009629898
6,1,2,5,533,0.001609008
7,1,2,5,868,0.002620298
8,1,2,5,9896,0.029873815
0,0,2,6,173536,0.521536335
1,0,2,6,87292,0.26234297
2,1,2,6,26571,0.079855142
3,1,2,6,18548,0.055743223
4,1,2,6,10598,0.031850694
5,1,2,6,3486,0.010476648
6,1,2,6,610,0.001833263
7,1,2,6,936,0.002813007
8,1,2,6,11163,0.033548717
0,0,2,7,173889,0.521356272
1,0,2,7,92960,0.278713887
2,1,2,7,29331,0.087940587
3,1,2,7,18685,0.056021611
4,1,2,7,8482,0.025430843
5,1,2,7,2088,0.006260269
6,1,2,7,259,0.000776537
7,1,2,7,726,0.002176703
8,1,2,7,7112,0.021323291
0,0,2,8,177429,0.533786406
1,0,2,8,90458,0.272138437
2,1,2,8,27213,0.08186897
3,1,2,8,16703,0.050250153
4,1,2,8,8657,0.026044158
5,1,2,8,2121,0.006380924
6,1,2,8,329,0.00098978
7,1,2,8,846,0.002545149
8,1,2,8,8641,0.025996023
0,0,2,9,173858,0.525550843
1,0,2,9,91117,0.275435218
2,1,2,9,27878,0.084271684
3,1,2,9,17315,0.052341065
4,1,2,9,8496,0.025682338
5,1,2,9,2833,0.008563802
6,1,2,9,492,0.001487254
7,1,2,9,836,0.002527123
8,1,2,9,7986,0.024140672
0,0,2,10,167591,0.508511039
1,0,2,10,90273,0.273909798
2,1,2,10,29582,0.089758839
3,1,2,10,20506,0.062220092
4,1,2,10,10136,0.03075504
5,1,2,10,2702,0.008198512
6,1,2,10,432,0.001310791
7,1,2,10,712,0.002160378
8,1,2,10,7638,0.023175512
0,0,2,11,162445,0.489118325
1,0,2,11,91932,0.276805232
2,1,2,11,30772,0.092653816
3,1,2,11,19920,0.059978682
4,1,2,11,10033,0.030209143
5,1,2,11,3662,0.011026202
6,1,2,11,568,0.001710236
7,1,2,11,856,0.002577397
8,1,2,11,11930,0.035920968
0,0,2,12,155433,0.468218227
1,0,2,12,90095,0.271397458
2,1,2,12,32376,0.097527766
3,1,2,12,22373,0.067395253
4,1,2,12,12488,0.037618197
5,1,2,12,4710,0.014188157
6,1,2,12,941,0.002834619
7,1,2,12,890,0.002680989
8,1,2,12,12661,0.038139333
0,0,2,13,155369,0.466031969
1,0,2,13,94275,0.282779473
2,1,2,13,33060,0.099164035
3,1,2,13,22399,0.067186183
4,1,2,13,11584,0.034746406
5,1,2,13,4301,0.012900923
6,1,2,13,707,0.002120659
7,1,2,13,856,0.002567587
8,1,2,13,10836,0.032502767
0,0,2,14,158947,0.475013149
1,0,2,14,91465,0.273343175
2,1,2,14,31573,0.094355918
3,1,2,14,22795,0.068122863
4,1,2,14,12118,0.036214646
5,1,2,14,4191,0.012524805
6,1,2,14,662,0.001978387
7,1,2,14,876,0.002617926
8,1,2,14,11989,0.03582913
0,0,2,15,154286,0.462375742
